Number_entering_buses,Stop_ID,Binned_time_x,y_pred,y_prob,Score,stop_lat,stop_lon,geometry,NIMI_left,Time,index_right,NIMI_right,NIMI
1,7820013-1,2025-12-11 04:00:00,0,0.12138633,0.1213863268494606,58.37551082,26.76968164,POINT (26.76968164 58.37551082),Annelinna,04:00:00,14.0,Annelinna,
11,7820013-1,2025-12-11 06:00:00,0,0.12170907,1.3387997820973396,58.37551082,26.76968164,POINT (26.76968164 58.37551082),Annelinna,06:00:00,14.0,Annelinna,
23,7820013-1,2025-12-11 08:00:00,0,0.12575302,2.8923193514347076,58.37551082,26.76968164,POINT (26.76968164 58.37551082),Annelinna,08:00:00,14.0,Annelinna,
23,7820013-1,2025-12-11 10:00:00,0,0.12228307,2.8125106394290924,58.37551082,26.76968164,POINT (26.76968164 58.37551082),Annelinna,10:00:00,14.0,Annelinna,
20,7820013-1,2025-12-11 12:00:00,0,0.1222552,2.4451039731502533,58.37551082,26.76968164,POINT (26.76968164 58.37551082),Annelinna,12:00:00,14.0,Annelinna,
22,7820013-1,2025-12-11 14:00:00,0,0.12602247,2.7724944055080414,58.37551082,26.76968164,POINT (26.76968164 58.37551082),Annelinna,14:00:00,14.0,Annelinna,
22,7820013-1,2025-12-11 16:00:00,0,0.12409028,2.72998608648777,58.37551082,26.76968164,POINT (26.76968164 58.37551082),Annelinna,16:00:00,14.0,Annelinna,
25,7820013-1,2025-12-11 18:00:00,0,0.121174835,3.029370866715908,58.37551082,26.76968164,POINT (26.76968164 58.37551082),Annelinna,18:00:00,14.0,Annelinna,
17,7820013-1,2025-12-11 20:00:00,0,0.12111117,2.0588898807764053,58.37551082,26.76968164,POINT (26.76968164 58.37551082),Annelinna,20:00:00,14.0,Annelinna,
9,7820013-1,2025-12-11 22:00:00,0,0.12111117,1.0900005251169205,58.37551082,26.76968164,POINT (26.76968164 58.37551082),Annelinna,22:00:00,14.0,Annelinna,
13,7820014-1,2025-12-11 06:00:00,0,0.121866055,1.5842587128281593,58.37045316,26.76670441,POINT (26.76670441 58.37045316),Annelinna,06:00:00,14.0,Annelinna,
24,7820014-1,2025-12-11 08:00:00,0,0.12729014,3.05496346950531,58.37045316,26.76670441,POINT (26.76670441 58.37045316),Annelinna,08:00:00,14.0,Annelinna,
23,7820014-1,2025-12-11 10:00:00,0,0.1253839,2.8838296681642532,58.37045316,26.76670441,POINT (26.76670441 58.37045316),Annelinna,10:00:00,14.0,Annelinna,
22,7820014-1,2025-12-11 12:00:00,0,0.1260272,2.7725983262062073,58.37045316,26.76670441,POINT (26.76670441 58.37045316),Annelinna,12:00:00,14.0,Annelinna,
21,7820014-1,2025-12-11 14:00:00,1,0.13266581,2.785982072353363,58.37045316,26.76670441,POINT (26.76670441 58.37045316),Annelinna,14:00:00,14.0,Annelinna,
23,7820014-1,2025-12-11 16:00:00,1,0.13041143,2.99946291744709,58.37045316,26.76670441,POINT (26.76670441 58.37045316),Annelinna,16:00:00,14.0,Annelinna,
22,7820014-1,2025-12-11 18:00:00,0,0.121201724,2.6664379239082336,58.37045316,26.76670441,POINT (26.76670441 58.37045316),Annelinna,18:00:00,14.0,Annelinna,
18,7820014-1,2025-12-11 20:00:00,0,0.12080434,2.1744781136512756,58.37045316,26.76670441,POINT (26.76670441 58.37045316),Annelinna,20:00:00,14.0,Annelinna,
13,7820014-1,2025-12-11 22:00:00,0,0.12085002,1.5710502490401268,58.37045316,26.76670441,POINT (26.76670441 58.37045316),Annelinna,22:00:00,14.0,Annelinna,
4,7820014-1,2025-12-12 00:00:00,0,0.12085002,0.4834000766277313,58.37045316,26.76670441,POINT (26.76670441 58.37045316),Annelinna,00:00:00,14.0,Annelinna,
13,7820015-1,2025-12-11 06:00:00,0,0.12677908,1.6481280326843262,58.36950908,26.76754256,POINT (26.76754256 58.36950908),Annelinna,06:00:00,14.0,Annelinna,
33,7820015-1,2025-12-11 08:00:00,0,0.1258074,4.151644349098206,58.36950908,26.76754256,POINT (26.76754256 58.36950908),Annelinna,08:00:00,14.0,Annelinna,
29,7820015-1,2025-12-11 10:00:00,0,0.12194568,3.536424696445465,58.36950908,26.76754256,POINT (26.76754256 58.36950908),Annelinna,10:00:00,14.0,Annelinna,
