Stop_ID,stop_lat,stop_lon,geometry,NIMI
7820235-1,58.34979371,26.74113758,POINT (26.74113758 58.34979371),Ropka tööstuse
7820298-1,58.34524603,26.74096552,POINT (26.74096552 58.34524603),Ropka tööstuse
7820285-1,58.36125669,26.74040249,POINT (26.74040249 58.36125669),Karlova
7800566-1,58.40103786,26.73979144,POINT (26.73979144 58.40103786),Raadi-Kruusamäe
7801275-1,58.40362091,26.74190348,POINT (26.74190348 58.40362091),Raadi-Kruusamäe
7820358-1,58.40191838,26.72135155,POINT (26.72135155 58.40191838),Raadi-Kruusamäe
7820349-1,58.39732505,26.73427053,POINT (26.73427053 58.39732505),Raadi-Kruusamäe
7820173-1,58.39150299,26.73039405,POINT (26.73039405 58.39150299),Raadi-Kruusamäe
7820226-1,58.34868407,26.69763178,POINT (26.69763178 58.34868407),Variku
7820229-1,58.34859622,26.70417463,POINT (26.70417463 58.34859622),Variku
7820147-1,58.35016089,26.70712041,POINT (26.70712041 58.35016089),Variku
7820098-1,58.3485892,26.70989119,POINT (26.70989119 58.3485892),Variku
7820119-1,58.35773524,26.70397272,POINT (26.70397272 58.35773524),Tammelinna
7820359-1,58.39989791,26.729291,POINT (26.729291 58.39989791),Raadi-Kruusamäe
7820206-1,58.35522599,26.70754632,POINT (26.70754632 58.35522599),Tammelinna
7820282-1,58.36117326,26.70178627,POINT (26.70178627 58.36117326),Tammelinna
7820181-1,58.39007646,26.72913255,POINT (26.72913255 58.39007646),Raadi-Kruusamäe
7820153-1,58.40083131,26.72719428,POINT (26.72719428 58.40083131),Raadi-Kruusamäe
7820203-1,58.35501632,26.70768839,POINT (26.70768839 58.35501632),Tammelinna
7820127-1,58.35923798,26.70286689,POINT (26.70286689 58.35923798),Tammelinna
7820100-1,58.35377665,26.70820357,POINT (26.70820357 58.35377665),Variku
7820090-1,58.39786392,26.73332536,POINT (26.73332536 58.39786392),Raadi-Kruusamäe
7820058-1,58.3923433,26.73177946,POINT (26.73177946 58.3923433),Raadi-Kruusamäe
7820357-1,58.40184107,26.72221089,POINT (26.72221089 58.40184107),Raadi-Kruusamäe
7820149-1,58.39960631,26.71699995,POINT (26.71699995 58.39960631),Raadi-Kruusamäe
7820108-1,58.39832495,26.72363666,POINT (26.72363666 58.39832495),Raadi-Kruusamäe
7820193-1,58.39664003,26.73102389,POINT (26.73102389 58.39664003),Raadi-Kruusamäe
7820077-1,58.36981141,26.72779418,POINT (26.72779418 58.36981141),Karlova
7820129-1,58.3669492,26.72967524,POINT (26.72967524 58.3669492),Karlova
7820249-3,58.37683585,26.73070579,POINT (26.73070579 58.37683585),Kesklinna
7820291-1,58.36201853,26.73063502,POINT (26.73063502 58.36201853),Karlova
7820190-1,58.36351475,26.73051063,POINT (26.73051063 58.36351475),Karlova
7820345-1,58.37027018,26.72756102,POINT (26.72756102 58.37027018),Karlova
7820150-1,58.39986954,26.71687568,POINT (26.71687568 58.39986954),Raadi-Kruusamäe
7820109-1,58.39820755,26.7245813,POINT (26.7245813 58.39820755),Raadi-Kruusamäe
7820354-1,58.36710241,26.72971696,POINT (26.72971696 58.36710241),Karlova
7820194-1,58.39633321,26.73244303,POINT (26.73244303 58.39633321),Raadi-Kruusamäe
7820244-1,58.36356625,26.69877895,POINT (26.69877895 58.36356625),Tammelinna
7820044-1,58.38119426,26.69496829,POINT (26.69496829 58.38119426),Tähtvere
7820332-1,58.36424183,26.76918899,POINT (26.76918899 58.36424183),Annelinna
7820208-2,58.37401262,26.70674249,POINT (26.70674249 58.37401262),Vaksali
7820053-1,58.36517863,26.75879689,POINT (26.75879689 58.36517863),Annelinna
7820171-1,58.35607767,26.67289602,POINT (26.67289602 58.35607767),Ränilinna
7820356-1,58.3666717,26.76129895,POINT (26.76129895 58.3666717),Annelinna
7820209-1,58.36979825,26.68927247,POINT (26.68927247 58.36979825),Veeriku
7820185-1,58.38851666,26.70827802,POINT (26.70827802 58.38851666),Supilinna
7800419-1,58.3684517,26.79811796,POINT (26.79811796 58.3684517),Ihaste
7820258-2,58.39325073,26.68740296,POINT (26.68740296 58.39325073),Tähtvere
7820367-1,58.38336625,26.7236519,POINT (26.7236519 58.38336625),Kesklinna
7820364-1,58.4026746,26.71596028,POINT (26.71596028 58.4026746),Raadi-Kruusamäe
7820102-1,58.35350153,26.7075046,POINT (26.7075046 58.35350153),Variku
7820353-1,58.3736677,26.72490047,POINT (26.72490047 58.3736677),Kesklinna
7820125-1,58.38919524,26.70470362,POINT (26.70470362 58.38919524),Tähtvere
7800529-1,58.35936653,26.79651476,POINT (26.79651476 58.35936653),Ihaste
7820042-1,58.38316976,26.69673413,POINT (26.69673413 58.38316976),Tähtvere
7820026-1,58.39357647,26.69114258,POINT (26.69114258 58.39357647),Tähtvere
7820363-1,58.40265634,26.71636688,POINT (26.71636688 58.40265634),Raadi-Kruusamäe
7820052-1,58.36489916,26.75865715,POINT (26.75865715 58.36489916),Annelinna
7820355-1,58.36631654,26.76258641,POINT (26.76258641 58.36631654),Annelinna
7800565-1,58.40203319,26.74175709,POINT (26.74175709 58.40203319),Raadi-Kruusamäe
7820135-1,58.37223634,26.75361904,POINT (26.75361904 58.37223634),Annelinna
7820106-1,58.38547154,26.7016431,POINT (26.7016431 58.38547154),Tähtvere
7820289-2,58.37792077,26.73396427,POINT (26.73396427 58.37792077),Kesklinna
7820320-1,58.34151158,26.71610809,POINT (26.71610809 58.34151158),Ropka tööstuse
7820050-1,58.35877592,26.78427994,POINT (26.78427994 58.35877592),Ihaste
7820035-2,58.35335497,26.68075748,POINT (26.68075748 58.35335497),Ränilinna
7820253-1,58.36449633,26.73501272,POINT (26.73501272 58.36449633),Karlova
7800431-1,58.31075631,26.69120484,POINT (26.69120484 58.31075631),Ränilinna
