Stop_ID,Pre_2019,density,NIMI
7820150-1,False,5,Raadi-Kruusamäe
7820109-1,False,1,Raadi-Kruusamäe
7820354-1,False,1,Karlova
7820194-1,False,3,Raadi-Kruusamäe
7820244-1,False,2,Tammelinna
7820044-1,False,3,Tähtvere
7820332-1,False,1,Annelinna
7820208-2,False,3,Vaksali
7820053-1,False,3,Annelinna
7820171-1,False,1,Ränilinna
7820356-1,False,3,Annelinna
7820209-1,False,3,Veeriku
7820185-1,False,3,Supilinna
7800419-1,False,1,Ihaste
7820258-2,False,2,Tähtvere
7820367-1,False,6,Kesklinna
7820364-1,False,3,Raadi-Kruusamäe
7820102-1,False,5,Variku
7820353-1,False,2,Kesklinna
7820125-1,False,3,Tähtvere
7800529-1,False,1,Ihaste
7820042-1,False,3,Tähtvere
7820026-1,False,3,Tähtvere
7820363-1,False,3,Raadi-Kruusamäe
7820052-1,False,3,Annelinna
7820355-1,False,3,Annelinna
7800565-1,False,3,Raadi-Kruusamäe
7820135-1,False,3,Annelinna
7820106-1,False,1,Tähtvere
7820289-2,False,7,Kesklinna
7820320-1,False,2,Ropka tööstuse
7820050-1,False,1,Ihaste
7820035-2,False,4,Ränilinna
7820253-1,False,6,Karlova
7800431-1,False,1,Ränilinna
7820054-1,False,1,Annelinna
7820370-1,False,7,Karlova
7820340-1,False,2,Ränilinna
7801229-1,False,2,Raadi-Kruusamäe
7820249-2,False,15,Kesklinna
7820229-2,False,4,Variku
7820037-1,False,2,Maarjamõisa
7820099-1,False,3,Variku
7820225-1,False,1,Variku
7820148-1,False,5,Variku
7820176-2,False,6,Kesklinna
7820374-1,False,2,Kvissentali
7820372-1,False,1,Karlova
7820371-1,False,8,Kesklinna
7820373-1,False,1,Ropka tööstuse
7820208-3,False,3,Vaksali
7801359-1,False,3,Raadi-Kruusamäe
7801350-1,False,1,Raadi-Kruusamäe
7801348-1,False,1,Raadi-Kruusamäe
7801351-1,False,2,Raadi-Kruusamäe
7801360-1,False,2,Raadi-Kruusamäe
7801349-1,False,1,Jaamamõisa
7820375-1,False,3,Raadi-Kruusamäe
7820377-1,False,4,Ülejõe
7820376-1,False,3,Ihaste
7801031-1,False,2,Raadi-Kruusamäe
7801395-1,False,1,Raadi-Kruusamäe
7801391-1,False,2,Raadi-Kruusamäe
7801388-1,False,3,Raadi-Kruusamäe
7801389-1,False,3,Raadi-Kruusamäe
7801393-1,False,1,Raadi-Kruusamäe
7801387-1,False,3,Raadi-Kruusamäe
7801394-1,False,1,Raadi-Kruusamäe
7801390-1,False,3,Raadi-Kruusamäe
